2020-04-14 16:38:52 [hystrix-Controller-9] INFO  m.a.controller.Controller - Called endpoint: 'userAll' | Port: '8000'
2020-04-14 16:38:53 [hystrix-Controller-10] INFO  m.a.controller.Controller - Called endpoint: 'userAll' | Port: '8000'
2020-04-14 16:38:53 [hystrix-Controller-10] INFO  m.a.controller.Controller - Called endpoint: 'userAll' | Port: '8000'
2020-04-14 16:39:05 [hystrix-Controller-10] INFO  m.a.controller.Controller - Called endpoint: 'userAll' | Port: '8000'
2020-04-14 16:40:50 [hystrix-Controller-10] INFO  m.a.controller.Controller - Called endpoint: 'userAll' | Port: '8000'
2020-04-14 16:40:50 [hystrix-Controller-10] INFO  m.a.controller.Controller - Called endpoint: 'userAll' | Port: '8000'
2020-04-14 16:40:51 [hystrix-Controller-10] INFO  m.a.controller.Controller - Called endpoint: 'userAll' | Port: '8000'
2020-04-14 16:40:54 [hystrix-Controller-10] INFO  m.a.controller.Controller - Called endpoint: 'checkLogin' | Port: '8000'
2020-04-14 16:40:59 [hystrix-Controller-10] INFO  m.a.controller.Controller - Called endpoint: 'userAll' | Port: '8000'
2020-04-14 16:41:00 [hystrix-Controller-10] INFO  m.a.controller.Controller - Called endpoint: 'userAll' | Port: '8000'
2020-04-14 16:41:00 [hystrix-Controller-10] INFO  m.a.controller.Controller - Called endpoint: 'userAll' | Port: '8000'
2020-04-14 16:49:02 [hystrix-Controller-10] INFO  m.a.controller.Controller - Called endpoint: 'userAll' | Port: '8000'
2020-04-14 16:49:03 [hystrix-Controller-10] INFO  m.a.controller.Controller - Called endpoint: 'userAll' | Port: '8000'
2020-04-14 16:50:50 [hystrix-Controller-10] INFO  m.a.controller.Controller - Called endpoint: 'checkLogin' | Port: '8000'
2020-04-14 16:59:40 [hystrix-Controller-10] INFO  m.a.controller.Controller - Called endpoint: 'userAll' | Port: '8000'
2020-04-14 16:59:41 [hystrix-Controller-10] INFO  m.a.controller.Controller - Called endpoint: 'userAll' | Port: '8000'
